int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
3;rm;2.;NA;2;0;4;i;FALSE
5;uf;2.;NA;2;0;6;i;FALSE
7;seq;3.;NA;3;0;9;i;FALSE
10;digito;1.;NA;1;0;10;i;FALSE
11;domicilio;2.;NA;2;0;12;i;FALSE
13;uniconsumo;1.;NA;1;0;13;i;FALSE
14;informante;2.;NA;2;0;15;i;FALSE
16;cod_desp;4.;NA;4;0;19;i;FALSE
20;dv_cod_item;1.;NA;1;0;20;i;FALSE
21;valor_item;10.;NA;10;2;30;d;FALSE
31;loca_comp;2.;NA;2;0;32;i;FALSE
33;mês_do_gasto;2.;NA;2;0;34;i;FALSE
35;deflator;4.;NA;4;2;38;d;FALSE
39;cod_crit;2.;NA;2;0;40;i;FALSE
41;cod_imput;2.;NA;2;0;42;d;FALSE
43;fator_anual;3.;NA;3;0;45;i;FALSE
46;valor_deflac;10.;NA;10;2;55;d;FALSE
56;valor_anual;10.;NA;10;2;65;d;FALSE
66;valor_exp_1;15.;NA;15;2;80;d;FALSE
81;valor_exp_2;15.;NA;15;2;95;d;FALSE
