int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
3;rm;2.;NA;2;0;4;i;FALSE
5;uf;2.;NA;2;0;6;i;FALSE
7;seq;3.;NA;3;0;9;i;FALSE
10;digito;1.;NA;1;0;10;i;FALSE
11;domicilio;2.;NA;2;0;12;i;FALSE
13;unid_cons;1.;NA;1;0;13;i;FALSE
14;cod_desp;4.;NA;4;0;17;i;FALSE
18;dv_desp;1.;NA;1;0;18;i;FALSE
19;est_prod;1.;NA;1;0;19;i;FALSE
20;mes_aquis;2.;NA;2;0;21;i;FALSE
22;ano_aquis;2.;NA;2;0;23;i;FALSE
24;forma_aquis;1.;NA;1;0;24;i;FALSE
25;valor_item;10.;NA;10;2;34;d;FALSE
35;loc_de_compra;2.;NA;2;0;36;i;FALSE
37;deflator;4.;NA;4;2;40;d;FALSE
41;codigo_critica;2.;NA;2;0;42;i;FALSE
43;cod_imputacao;2.;NA;2;0;44;i;FALSE
45;fator_anualiz;3.;NA;3;0;47;i;FALSE
48;valor_defl;10.;NA;10;2;57;d;FALSE
58;valor_anualiz;10.;NA;10;2;67;d;FALSE
68;valorexp1;15.;NA;15;2;82;d;FALSE
83;valorexp2;15.;NA;15;2;97;d;FALSE
