int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
3;rm;2.;NA;2;0;4;i;FALSE
5;uf;2.;NA;2;0;6;i;FALSE
7;seq;3.;NA;3;0;9;i;FALSE
10;digito;1.;NA;1;0;10;i;FALSE
11;domicilio;2.;NA;2;0;12;i;FALSE
13;uni_consumo;1.;NA;1;0;13;i;FALSE
14;informante;2.;NA;2;0;15;i;FALSE
16;cod_desp;4.;NA;4;0;19;i;FALSE
20;dv_cod_desp;1.;NA;1;0;20;i;FALSE
21;m_gasto;2.;NA;2;0;22;i;FALSE
23;n_meses;1.;NA;1;0;23;i;FALSE
24;ult_rece;10.2;NA;10;2;33;d;FALSE
34;imp_renda;10.2;NA;10;2;43;d;FALSE
44;prev_publica;10.2;NA;10;2;53;d;FALSE
54;outras_ded;10.2;NA;10;2;63;d;FALSE
64;defl_rend;4.2;NA;4;2;67;d;FALSE
68;cod_critica;2.;NA;2;0;69;i;FALSE
70;cod_imput;2.;NA;2;0;71;i;FALSE
72;fator_anualiz;3.;NA;3;0;74;i;FALSE
75;val_1_defl_recb;10.2;NA;10;2;84;d;FALSE
85;val_1_anual_recb;10.2;NA;10;2;94;d;FALSE
95;val_1_exp_1_recb;15.2;NA;15;2;109;d;FALSE
110;val_1_exp_2_recb;15.2;NA;15;2;124;d;FALSE
125;val_2_defl_IR;10.2;NA;10;2;134;d;FALSE
135;val_2_anual_IR;10.2;NA;10;2;144;d;FALSE
145;val_2-exp_1_IR;15.2;NA;15;2;159;d;FALSE
160;val_2_exp_2_IR;15.2;NA;15;2;174;d;FALSE
175;val_3_defl_prev_publ;10.2;NA;10;2;184;d;FALSE
185;val_3_anual_prev_publ;10.2;NA;10;2;194;d;FALSE
195;val_3_exp_1_prev_publ;15.2;NA;15;2;209;d;FALSE
210;val_3_exp_2_prev_publ;15.2;NA;15;2;224;d;FALSE
225;val_4_defl_out_ded;10.2;NA;10;2;234;d;FALSE
235;val_4_anual_out_ded;10.2;NA;10;2;244;d;FALSE
245;val_4_exp_1_out_ded;15.2;NA;15;2;259;d;FALSE
260;val_4_exp_2_out_ded;14.2;NA;14;2;273;d;FALSE
