int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
3;rm;2.;NA;2;0;4;i;FALSE
5;uf;2.;NA;2;0;6;i;FALSE
7;seq;3.;NA;3;0;9;i;FALSE
10;digito;1.;NA;1;0;10;i;FALSE
11;domicilio;2.;NA;2;0;12;i;FALSE
13;unid.cons;1.;NA;1;0;13;i;FALSE
14;cod.desp;4.;NA;4;0;17;i;FALSE
18;dv.desp;1.;NA;1;0;18;i;FALSE
19;quant.consum;4.;NA;4;0;22;i;FALSE
23;valor.item;10.;NA;10;2;32;d;FALSE
33;local.comp;2.;NA;2;0;34;i;FALSE
35;deflator;4.;NA;4;2;38;d;FALSE
39;cod.critica;2.;NA;2;0;40;i;FALSE
41;cod.imp;2.;NA;2;0;42;i;FALSE
43;fator.anual;3.;NA;3;0;45;i;FALSE
46;val.defl;10.;NA;10;2;55;d;FALSE
56;val.anualiz;10.;NA;10;2;65;d;FALSE
66;valorexp1;15.;NA;15;2;80;d;FALSE
81;valorexp2;15.;NA;15;2;95;d;FALSE
