int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
3;rm;2.;;2;0;4;i;FALSE
5;uf;2.;;2;0;6;i;FALSE
7;seq;3.;;3;0;9;i;FALSE
10;digito;1.;;1;0;10;i;FALSE
11;domicilio;2.;;2;0;12;i;FALSE
13;unid.cons;1.;;1;0;13;i;FALSE
14;periodoreal;2.;;2;0;15;i;FALSE
16;n.moradores;2.;;2;0;17;i;FALSE
18;tipo.dom;1.;;1;0;18;i;FALSE
19;comodos;2.;;2;0;20;i;FALSE
21;dormitorios;2.;;2;0;22;i;FALSE
23;abastecimento;1.;;1;0;23;i;FALSE
24;esgot.sanit;1.;;1;0;24;i;FALSE
25;cond.ocup;1.;;1;0;25;i;FALSE
26;contrato;1.;;1;0;26;i;FALSE
27;reajuste;1.;;1;0;27;i;FALSE
28;temp.morad;1.;;1;0;28;i;FALSE
29;n.unidad.cons;2.;;2;0;30;i;FALSE
31;estratorenda;2.;;2;0;32;i;FALSE
33;fator.area;6.;;6;0;38;i;FALSE
39;fatorcapital;6.;;6;0;44;i;FALSE
