int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
3;rm;2.;NA;2;0;4;i;FALSE
5;uf;2.;NA;2;0;6;i;FALSE
7;seq;3.;NA;3;0;9;i;FALSE
10;digito;1.;NA;1;0;10;i;FALSE
11;domicilio;2.;NA;2;0;12;i;FALSE
13;uni_consumo;1.;NA;1;0;13;i;FALSE
14;informante;2.;NA;2;0;15;i;FALSE
16;cod_desp;4.;NA;4;0;19;i;FALSE
20;dv_cod_desp;1.;NA;1;0;20;i;FALSE
21;mês_gasto;2.;NA;2;0;22;i;FALSE
23;valor_item;10.;NA;8;2;32;d;FALSE
33;deflator;4.;NA;2;2;36;d;FALSE
37;cod_crit;2.;NA;2;0;38;i;FALSE
39;cod_imp;2.;NA;2;0;40;i;FALSE
41;anual;3.;NA;3;0;43;i;FALSE
44;valor_defl;10.;NA;8;2;53;d;FALSE
54;valor_anual;10.;NA;8;2;63;d;FALSE
64;valor_exp_1;15.;NA;13;2;78;d;FALSE
79;valor_exp_2;15.;NA;13;2;93;d;FALSE
